Ingredients,Skin Type,Skin Concern,Remedy Type,Remedy Description
"turmeric,honey",All,Acne,Face Mask,Combine both with warm water
"turmeric,yogurt,lemon juice",All,"Hyperpigmentation, Wrinkles",Face Mask,combine all 3
"turmeric,aleovera gel",All,Sunburn,Face Mask,Combine both
"turmeric,sandalwood powder,honey",Normal,Glowing Skin,Face Mask,combine all with water
"turmeric,chickpea powder,milk",Normal,Cleanser,Face Cleanser,combine all with water
"turmeric,cow milk",All,Cleanser,Face Cleanser,combine all with water
"curd,cucumber",All,Natural healing,Face Mask,Combine both
"curd,tomato",All,Natural healing,Face Mask,Combine both
"curd,turmeric",All,Natural healing,Face Mask,Combine both
"curd,potato",All,Natural healing,Face Mask,Combine both
"curd,honey",Dry,Natural healing,Face Mask,Combine both
"curd,gram flour",Oily,Natural healing,Face Mask,Combine both
"curd,lemon",Oily,Natural healing,Face Mask,Combine both
"curd,oats",Oily,Natural healing,Face Mask,Combine both
"curd,orange peel",Oily,Natural healing,Face Mask,Combine both
potato juice,All,Sun damage,Face Cleanser,Blend it
"potato juice,aleovera gel",All,Dark Circles,Face Pack,combine all 3
"potato juice,lemon juice,rose water",All,Face Pigmentation,Face Pack,combine all 3
"grated potato,turmeric",All,Dark Spots,Face Pack,Combine both
"potato juice,gram flour,neem powder","Oily,Acne-Prone",Acne,Face Pack,combine all 3
"potato juice,yoghurt",All,Anti aging,Face Pack,combine both
"potato juice,honey,almond oil",All,Moisturizer,Face Pack,combine all 3
"potato juice,multani mitti",All,Brightening,Face Pack,combine both